PersonId,AttributeKey,AttributeValue
4167,IndCampus,Sojourn Midtown
4167,IndFamPosition,Child
4168,IndCampus,Sojourn Midtown
4168,IndFamPosition,Child
4169,IndCampus,Sojourn Midtown
4169,IndFamPosition,Primary Contact
4170,IndCampus,Sojourn Midtown
4170,IndFamPosition,Child
4171,IndCampus,Sojourn Midtown
4171,IndFamPosition,Child
4172,IndCampus,Sojourn Midtown
4172,IndFamPosition,Primary Contact
4173,IndCampus,Sojourn Midtown
4173,IndFamPosition,Spouse
4174,IndAllergies,"cephazil, augmentin"
4174,IndCampus,Sojourn Midtown
4174,IndFamPosition,Child
4175,IndAllergies,cephazil
4175,IndCampus,Sojourn Midtown
4175,IndFamPosition,Child
4176,IndCampus,Sojourn Midtown
4176,IndFamPosition,Primary Contact
4177,IndCampus,Sojourn Midtown
4177,IndFamPosition,Child
4178,IndCampus,Sojourn Midtown
4178,IndFamPosition,Child
4179,IndCampus,Sojourn Midtown
4179,IndFamPosition,Child
4180,IndCampus,Sojourn Midtown
4180,IndBaptized,Baptized
4180,IndFamPosition,Primary Contact
4181,IndCampus,Sojourn Midtown
4181,IndBaptized,Baptized
4181,IndFamPosition,Spouse
4182,IndCampus,Sojourn Midtown
4182,IndFamPosition,Child
4183,IndCampus,Sojourn Midtown
4183,IndFamPosition,Primary Contact
4184,IndCampus,Sojourn Midtown
4184,IndFamPosition,Child
4185,IndCampus,Sojourn Midtown
4185,IndFamPosition,Child
4186,IndCampus,Sojourn Midtown
4186,IndFamPosition,Primary Contact
4188,IndCampus,Sojourn Midtown
4188,IndFamPosition,Spouse
4187,MembershipDate,2005-06-01T00:00:00.0000000
4187,IndAllergies,5025587201
4187,IndCampus,Sojourn J-town
4187,IndAgeBracket,25 - 34
4187,IndBaptized,Baptized
4187,IndFamPosition,Primary Contact
4194,IndCampus,Sojourn J-town
4194,IndFamPosition,Child
4196,IndCampus,Sojourn J-town
4196,IndFamPosition,Child
4198,IndAllergies,5025587201
4198,IndCampus,Sojourn Midtown
4198,IndFamPosition,Child
4199,IndCampus,Sojourn Midtown
4199,IndFamPosition,Child
4189,IndCampus,Sojourn Midtown
4189,IndFamPosition,Primary Contact
4190,IndCampus,Sojourn Midtown
4190,IndFamPosition,Spouse
4191,IndCampus,Sojourn Midtown
4191,IndFamPosition,Child
4192,IndCampus,Sojourn Midtown
4192,IndFamPosition,Child
4193,IndCampus,Sojourn Midtown
4193,IndFamPosition,Primary Contact
4195,IndCampus,Sojourn Midtown
4195,IndFamPosition,Spouse
4197,IndCampus,Sojourn Midtown
4197,IndFamPosition,Child
4200,IndAllergies,Father's last name i
4200,IndCampus,Sojourn Midtown
4200,IndFamPosition,Primary Contact
4201,IndCampus,Sojourn Midtown
4201,IndFamPosition,Child
4202,IndCampus,Sojourn Midtown
4202,IndFamPosition,Other
4203,IndCampus,Sojourn Midtown
4203,IndFamPosition,Primary Contact
4204,MembershipDate,2008-11-23T00:00:00.0000000
4204,IndCampus,Sojourn J-town
4204,IndBaptized,Baptized
4204,IndFamPosition,Primary Contact
4205,IndCampus,Sojourn Midtown
4205,IndFamPosition,Primary Contact
4206,IndCampus,Sojourn Midtown
4206,IndFamPosition,Spouse
4207,IndCampus,Sojourn Midtown
4207,IndLimitAccessUser,1
4207,IndFamPosition,Child
4208,IndCampus,Sojourn Midtown
4208,IndFamPosition,Primary Contact
4209,IndCampus,Sojourn Midtown
4209,IndFamPosition,Primary Contact
4210,IndCampus,Sojourn Midtown
4210,IndFamPosition,Primary Contact
4212,IndCampus,Sojourn Midtown
4212,IndFamPosition,Spouse
4211,MembershipDate,2017-03-19T00:00:00.0000000
4211,IndWorkTitle,Law Courier
4211,IndAllergies,"Latex, Latex Product"
4211,IndSchoolName,SBTS
4211,IndCampus,Sojourn J-town
4211,IndMilitary,None
4211,IndAgeBracket,19 - 24
4211,IndHowtheyheard,Friend
4211,IndFamPosition,Primary Contact
4211,IndSalvation,1991-02-07T00:00:00.0000000
4213,IndCampus,Sojourn Midtown
4213,IndFamPosition,Primary Contact
4214,IndCampus,Sojourn Midtown
4214,IndFamPosition,Primary Contact
4215,IndCampus,Sojourn Midtown
