Id,PersonId,AccountId,StartDate,EndDate,PledgeFrequency,TotalAmount
264,2922,81,9/1/2006 12:00:00 AM,9/1/2008 12:00:00 AM,Monthly,1920
265,2922,92,5/1/2010 12:00:00 AM,5/1/2015 12:00:00 AM,Monthly,6000
241,21987,81,4/30/2006 12:00:00 AM,4/24/2011 12:00:00 AM,Weekly,2600
995,21987,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Weekly,5200
789,696,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Weekly,2600
976,22018,118,1/1/2016 12:00:00 AM,12/31/2018 12:00:00 AM,OneTime,500
847,22088,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,11000
1156,22154,127,5/15/2016 12:00:00 AM,5/5/2019 12:00:00 AM,Weekly,6240
850,22179,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,3000
1143,731,127,4/1/2016 12:00:00 AM,3/31/2019 12:00:00 AM,Monthly,7200
991,22350,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,18000
1158,22405,127,5/15/2016 12:00:00 AM,5/5/2019 12:00:00 AM,Monthly,1800
939,22424,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,100000
1036,752,127,5/1/2016 12:00:00 AM,4/30/2019 12:00:00 AM,OneTime,12000
1042,22453,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,5988
813,22472,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,3000
828,22538,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,6000
950,22544,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,OneTime,500
830,23365,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,12000
845,22596,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,3000
966,22609,118,1/1/2016 12:00:00 AM,12/31/2017 12:00:00 AM,Monthly,720
969,22613,118,12/1/2015 12:00:00 AM,11/26/2017 12:00:00 AM,Weekly,2600
1172,22621,91,3/1/2017 12:00:00 AM,5/1/2017 12:00:00 AM,Monthly,200
872,22626,118,1/1/2016 12:00:00 AM,12/31/2020 12:00:00 AM,Monthly,3000
992,24717,118,11/15/2015 12:00:00 AM,11/1/2020 12:00:00 AM,Monthly,10500
566,22665,81,4/30/2006 12:00:00 AM,4/30/2011 12:00:00 AM,Monthly,2400
567,22665,92,6/1/2010 12:00:00 AM,6/1/2015 12:00:00 AM,Monthly,6000
1126,22667,127,5/1/2016 12:00:00 AM,4/28/2019 12:00:00 AM,Monthly,1440
1165,22669,91,12/20/2016 12:00:00 AM,12/20/2016 12:00:00 AM,Monthly,300
952,22669,118,12/3/2015 12:00:00 AM,11/30/2017 12:00:00 AM,Monthly,1800
891,22687,118,12/1/2015 12:00:00 AM,11/30/2020 12:00:00 AM,Monthly,600
